Date,Time,Away Team,Away Code,Away Score,Home Team,Home Code,Home Score,Game Link,Away Goalie,Away GA,Away DEC,Away SA,Away Saves,Away SV%,Away Shutouts,Away PIM,Away TOI,Home Goalie,Home GA,Home DEC,Home SA,Home Saves,Home SV%,Home Shutouts,Home PIM,Home TOI
2023-10-16,7:00 PM,Detroit Red Wings,DET,4,Columbus Blue Jackets,CBJ,0,https://www.hockey-reference.com/boxscores/202310160CBJ.html,James Reimer,0,W,23,23,1.000,1,0,60:00,Spencer Martin,4,L,28,24,.857,0,0,59:16
2023-10-16,7:00 PM,Florida Panthers,FLA,4,New Jersey Devils,NJD,3,https://www.hockey-reference.com/boxscores/202310160NJD.html,Sergei Bobrovsky,3,W,34,31,.912,0,0,60:00,Vítek Vaněček,4,L,30,26,.867,0,0,56:00
2023-10-16,7:00 PM,Arizona Coyotes,ARI,1,New York Rangers,NYR,2,https://www.hockey-reference.com/boxscores/202310160NYR.html,Connor Ingram,2,L,28,26,.929,0,0,58:43,Igor Shesterkin,1,W,27,26,.963,0,2,59:55
2023-10-16,7:00 PM,Chicago Blackhawks,CHI,4,Toronto Maple Leafs,TOR,1,https://www.hockey-reference.com/boxscores/202310160TOR.html,Arvid Söderblom,1,W,36,35,.972,0,0,60:00,Joseph Woll,3,L,30,27,.900,0,0,56:13
2023-10-16,7:00 PM,Calgary Flames,CGY,2,Washington Capitals,WSH,3,https://www.hockey-reference.com/boxscores/202310160WSH.html,Jacob Markström,2,O,23,21,.913,0,0,64:48,Darcy Kuemper,2,W,40,38,.950,0,0,65:00
2023-10-17,7:30 PM,Tampa Bay Lightning,TBL,2,Buffalo Sabres,BUF,3,https://www.hockey-reference.com/boxscores/202310170BUF.html,Jonas Johansson,3,O,31,28,.903,0,0,60:11,Devon Levi,2,W,25,23,.920,0,0,61:46
2023-10-17,7:00 PM,Minnesota Wild,MIN,5,Montreal Canadiens,MTL,2,https://www.hockey-reference.com/boxscores/202310170MTL.html,Marc-André Fleury,2,W,28,26,.929,0,0,59:54,Sam Montembeault,5,L,35,30,.857,0,0,58:16
2023-10-17,8:00 PM,Edmonton Oilers,EDM,6,Nashville Predators,NSH,1,https://www.hockey-reference.com/boxscores/202310170NSH.html,Jack Campbell,1,W,44,43,.977,0,0,60:00,Juuse Saros,4,L,11,7,.636,0,0,18:52
2023-10-17,7:30 PM,Arizona Coyotes,ARI,0,New York Islanders,NYI,1,https://www.hockey-reference.com/boxscores/202310170NYI.html,Karel Vejmelka,1,L,34,33,.971,0,0,58:02,Ilya Sorokin,0,W,14,14,1.000,1,0,59:49
2023-10-17,6:00 PM,Vancouver Canucks,VAN,0,Philadelphia Flyers,PHI,2,https://www.hockey-reference.com/boxscores/202310170PHI.html,Thatcher Demko,2,L,42,40,.952,0,0,57:30,Carter Hart,0,W,26,26,1.000,1,0,59:43
2023-10-17,10:00 PM,Colorado Avalanche,COL,4,Seattle Kraken,SEA,1,https://www.hockey-reference.com/boxscores/202310170SEA.html,Alexandar Georgiev,1,W,38,37,.974,0,0,60:00,Philipp Grubauer,3,L,27,24,.889,0,0,59:39
2023-10-17,10:30 PM,Carolina Hurricanes,CAR,6,San Jose Sharks,SJS,3,https://www.hockey-reference.com/boxscores/202310170SJS.html,Frederik Andersen,1,,2,1,.500,0,0,5:27,Mackenzie Blackwood,6,L,42,36,.857,0,0,60:00
2023-10-17,10:30 PM,Dallas Stars,DAL,2,Vegas Golden Knights,VEG,3,https://www.hockey-reference.com/boxscores/202310170VEG.html,Jake Oettinger,2,O,34,32,.941,0,0,65:00,Adin Hill,2,W,26,24,.923,0,0,64:14
2023-10-17,8:00 PM,Los Angeles Kings,LAK,5,Winnipeg Jets,WPG,1,https://www.hockey-reference.com/boxscores/202310170WPG.html,Cam Talbot,1,W,27,26,.963,0,2,60:00,Connor Hellebuyck,5,L,29,24,.828,0,0,59:55
2023-10-18,7:30 PM,Pittsburgh Penguins,PIT,3,Detroit Red Wings,DET,6,https://www.hockey-reference.com/boxscores/202310180DET.html,Tristan Jarry,4,L,27,23,.852,0,0,59:25,Ville Husso,3,W,33,30,.909,0,0,60:00
2023-10-18,7:00 PM,Washington Capitals,WSH,1,Ottawa Senators,OTT,6,https://www.hockey-reference.com/boxscores/202310180OTT.html,Darcy Kuemper,6,L,29,23,.793,0,0,60:00,Anton Forsberg,1,W,24,23,.958,0,0,60:00
2023-10-19,10:00 PM,Dallas Stars,DAL,3,Anaheim Ducks,ANA,2,https://www.hockey-reference.com/boxscores/202310190ANA.html,Jake Oettinger,2,W,29,27,.931,0,0,60:00,John Gibson,3,L,24,21,.875,0,0,57:47
2023-10-19,7:00 PM,Calgary Flames,CGY,4,Buffalo Sabres,BUF,3,https://www.hockey-reference.com/boxscores/202310190BUF.html,Daniel Vladař,3,W,27,24,.889,0,0,60:00,Devon Levi,4,L,36,32,.889,0,0,58:58
2023-10-19,10:30 PM,Chicago Blackhawks,CHI,0,Colorado Avalanche,COL,4,https://www.hockey-reference.com/boxscores/202310190COL.html,Petr Mrázek,4,L,41,37,.902,0,0,60:00,Alexandar Georgiev,0,W,18,18,1.000,1,0,60:00
2023-10-19,7:00 PM,Toronto Maple Leafs,TOR,1,Florida Panthers,FLA,3,https://www.hockey-reference.com/boxscores/202310190FLA.html,Ilya Samsonov,2,L,23,21,.913,0,0,57:50,Sergei Bobrovsky,1,W,30,29,.967,0,0,60:00
2023-10-19,8:00 PM,Los Angeles Kings,LAK,7,Minnesota Wild,MIN,3,https://www.hockey-reference.com/boxscores/202310190MIN.html,Cam Talbot,3,W,32,29,.906,0,0,60:00,Marc-André Fleury,5,L,25,20,.800,0,0,58:31
2023-10-19,7:00 PM,Nashville Predators,NSH,4,New York Rangers,NYR,1,https://www.hockey-reference.com/boxscores/202310190NYR.html,Juuse Saros,1,W,24,23,.958,0,0,59:33,Igor Shesterkin,4,L,18,14,.778,0,0,33:51
2023-10-19,7:30 PM,Edmonton Oilers,EDM,1,Philadelphia Flyers,PHI,4,https://www.hockey-reference.com/boxscores/202310190PHI.html,Jack Campbell,4,L,32,28,.875,0,0,60:00,Carter Hart,1,W,23,22,.957,0,0,60:00
